date        circulating_supply  realized_price
2026-05-22       20031921.553   53552.84
2026-05-23       20032440.376   53880.38
2026-05-24       20032815.443   53732.55
2026-05-25       20033333.238   53854.10
2026-05-26       20033773.444   53845.31
2026-05-27       20034248.249   53717.43   
2026-05-28       20034691.525   53594.48
2026-05-29       20035166.987   53655.81
2026-05-30       20035637.214   53486.18
2026-05-31       20036055.381   53444.34
2026-06-01       20036525.839   53479.06
2026-06-02       20036937.397   53298.61
2026-06-03       20037325.407   53365.70
2026-06-04       20037753.745   53391.33
2026-06-05       20038154.615   53109.06
2026-06-06       20038544.011   53304.87
2026-06-07       20038889.403   53217.25
2026-06-08       20039223.152   53021.95
2026-06-09       20039614.227   53179.67
2026-06-10       20040011.922   53178.28
2026-06-11       20040429.353   52940.61
2026-06-12       20040787.609   52989.72
2026-06-13       20041215.467   53007.93
2026-06-14       20041710.524   53077.64
2026-06-15       20042164.750   53080.98
2026-06-16       20042589.002   53100.80
2026-06-17       20043023.912   53093.40
2026-06-18       20043569.084   53122.85
2026-06-19       20043969.139   53000.73
2026-06-20       20044515.710   53000.41
2026-06-21       20044942.163   53047.85
2026-06-22       20045463.321   53103.97
2026-06-23       20046009.035   52947.51
2026-06-24       20046541.002   52993.30
2026-06-25       20047041.221   52816.99
2026-06-26       20047517.613   52667.84
2026-06-27       20048027.949   52903.64
2026-06-28       20048415.734   52749.46
2026-06-29       20048757.569   52812.61
2026-06-30       20049214.336   52722.09
2026-07-01       20047101.206   52449.60
2026-07-02       20047428.275   52716.38
2026-07-03       20047860.386   52580.93
2026-07-04       20048297.340   52677.17
2026-07-05       20048735.048   52673.95
2026-07-06       20052902.303   52643.22
2026-07-07       20053288.240   52726.50

     
